"Id","Rating","Valoraciones","Precio","Bodegas","Nombre y año","Bandera","Región"
"https://www.vivino.com/ES/es/artadi-vina-el-pison/w/49754?year=2018&price_id=27474114","4,8","54 valoraciones","299,25","Artadi","Viña El Pison 2018","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Vino de España, España"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2006&price_id=12225310","4,7","3974 valoraciones","249,20","Vega Sicilia","Valbuena 5º 2006","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1998&price_id=31946112","4,7","2889 valoraciones","234,47","Château d'Yquem","Sauternes 1998","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Sauternes, Francia"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2005&price_id=20181795","4,7","1892 valoraciones","284,10","Vega Sicilia","Valbuena 5º 2005","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2012&price_id=31328099","4,7","509 valoraciones","349","Vega Sicilia","Unico 2012","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/emilio-moro-malleolus-de-sanchomartin/w/11607?year=2016&price_id=27473969","4,7","433 valoraciones","120,75","Emilio Moro","Malleolus de Sanchomartin 2016","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/pago-de-los-capellanes-parcela-el-picon-tinto/w/1382462?year=2016&price_id=26703812","4,7","140 valoraciones","196","Pago de Los Capellanes","Parcela El Picón Tinto 2016","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/louis-roederer-cristal-brut-champagne-millesime/w/74304?year=2015&price_id=31918693","4,7","90 valoraciones","295","Louis Roederer","Cristal Brut Champagne (Millésimé) 2015","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Champán, Francia"
"https://www.vivino.com/ES/es/teso-la-monja-alabaster/w/1379762?year=2019&price_id=29544786","4,7","74 valoraciones","160,77","Teso La Monja","Alabaster 2019","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Toro, España"
"https://www.vivino.com/ES/es/pago-de-carraovejas-cuesta-de-las-liebres/w/1139435?year=2018&price_id=30642108","4,7","72 valoraciones","158,90","Pago de Carraovejas","Cuesta de Las Liebres 2018","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/recaredo-reserva-particular-de-recaredo-brut-nature/w/7337729?year=2011&price_id=27449638","4,7","54 valoraciones","65,05","Recaredo","Reserva Particular de Recaredo Brut Nature 2011","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Penedès, España"
"https://www.vivino.com/ES/es/vinedos-de-paganos-la-nieta/w/1100735?year=2020&price_id=31008213","4,7","46 valoraciones","109,97","Viñedos de Páganos","La Nieta 2020","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Rioja, España"
"https://www.vivino.com/ES/es/territorio-luthier-luthier-gran-reserva/w/7203961?year=2012&price_id=23570505","4,7","45 valoraciones","248","Territorio Luthier","Luthier Gran Reserva 2012","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/comenge-jacobus-ribera-del-duero/w/5441031?year=2014&price_id=28965663","4,7","38 valoraciones","195,90","Comenge","Jacobus 2014","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/familia-torres-reserva-real/w/28104?year=2016&price_id=23462178","4,7","36 valoraciones","273","Familia Torres","Reserva Real 2016","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Penedès, España"
"https://www.vivino.com/ES/es/louis-jadot-chambertin-clos-de-beze-grand-cru/w/2833?year=2006&price_id=23351943","4,7","35 valoraciones","271,70","Louis Jadot","Chambertin Clos de Beze Grand Cru 2006","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Chambertin-Clos de Bèze Grand Cru, Francia"
"https://www.vivino.com/ES/es/artadi-vina-el-pison/w/49754?year=2019&price_id=27347370","4,7","29 valoraciones","324,99","Artadi","Viña El Pison 2019","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Vino de España, España"
"https://www.vivino.com/ES/es/ja-te-disse-alicante-bouschet/w/10608315?year=2020&price_id=29996915","4,7","28 valoraciones","89,99","Já Te Disse","Alicante Bouschet 2020","https://web-common.vivino.com/assets/countryFlags/PT-48.png","Alentejo, Portugal"
"https://www.vivino.com/ES/es/krug-grande-cuvee/w/7122486?price_id=24998063","4,6","27680 valoraciones","337,90","Krug","Grande Cuvée N.V.","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Champán, Francia"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2012&price_id=12225397","4,6","6123 valoraciones","268,12","Vega Sicilia","Valbuena 5º 2012","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2008&price_id=12225191","4,6","5626 valoraciones","282,39","Vega Sicilia","Valbuena 5º 2008","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2007&price_id=12225288","4,6","5217 valoraciones","270","Vega Sicilia","Valbuena 5º 2007","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/alion-ribera-del-duero/w/77171?year=2017&price_id=26308956","4,6","3518 valoraciones","189,90","Alión","Ribera del Duero 2017","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/louis-roederer-cristal-brut-champagne-millesime/w/74304?year=2012&price_id=27847961","4,6","3350 valoraciones","336","Louis Roederer","Cristal Brut Champagne (Millésimé) 2012","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Champán, Francia"
"https://www.vivino.com/ES/es/louis-roederer-cristal-brut-champagne-millesime/w/74304?year=2005&price_id=31930772","4,6","2906 valoraciones","273","Louis Roederer","Cristal Brut Champagne (Millésimé) 2005","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Champán, Francia"
"https://www.vivino.com/ES/es/artadi-vina-el-pison/w/49754?year=2018&price_id=27474114","4,8","54 valoraciones","299,25","Artadi","Viña El Pison 2018","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Vino de España, España"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2006&price_id=12225310","4,7","3974 valoraciones","249,20","Vega Sicilia","Valbuena 5º 2006","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/chateau-d-yquem-sauternes-sauternes-dessert-wine/w/1153863?year=1998&price_id=31946112","4,7","2889 valoraciones","234,47","Château d'Yquem","Sauternes 1998","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Sauternes, Francia"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2005&price_id=20181795","4,7","1892 valoraciones","284,10","Vega Sicilia","Valbuena 5º 2005","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2012&price_id=31328099","4,7","509 valoraciones","349","Vega Sicilia","Unico 2012","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/emilio-moro-malleolus-de-sanchomartin/w/11607?year=2016&price_id=27473969","4,7","433 valoraciones","120,75","Emilio Moro","Malleolus de Sanchomartin 2016","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/pago-de-los-capellanes-parcela-el-picon-tinto/w/1382462?year=2016&price_id=26703812","4,7","140 valoraciones","196","Pago de Los Capellanes","Parcela El Picón Tinto 2016","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/louis-roederer-cristal-brut-champagne-millesime/w/74304?year=2015&price_id=31918693","4,7","90 valoraciones","295","Louis Roederer","Cristal Brut Champagne (Millésimé) 2015","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Champán, Francia"
"https://www.vivino.com/ES/es/teso-la-monja-alabaster/w/1379762?year=2019&price_id=29544786","4,7","74 valoraciones","160,77","Teso La Monja","Alabaster 2019","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Toro, España"
"https://www.vivino.com/ES/es/pago-de-carraovejas-cuesta-de-las-liebres/w/1139435?year=2018&price_id=30642108","4,7","72 valoraciones","158,90","Pago de Carraovejas","Cuesta de Las Liebres 2018","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/recaredo-reserva-particular-de-recaredo-brut-nature/w/7337729?year=2011&price_id=27449638","4,7","54 valoraciones","65,05","Recaredo","Reserva Particular de Recaredo Brut Nature 2011","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Penedès, España"
"https://www.vivino.com/ES/es/vinedos-de-paganos-la-nieta/w/1100735?year=2020&price_id=31008213","4,7","46 valoraciones","109,97","Viñedos de Páganos","La Nieta 2020","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Rioja, España"
"https://www.vivino.com/ES/es/territorio-luthier-luthier-gran-reserva/w/7203961?year=2012&price_id=23570505","4,7","45 valoraciones","248","Territorio Luthier","Luthier Gran Reserva 2012","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/comenge-jacobus-ribera-del-duero/w/5441031?year=2014&price_id=28965663","4,7","38 valoraciones","195,90","Comenge","Jacobus 2014","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/familia-torres-reserva-real/w/28104?year=2016&price_id=23462178","4,7","36 valoraciones","273","Familia Torres","Reserva Real 2016","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Penedès, España"
"https://www.vivino.com/ES/es/louis-jadot-chambertin-clos-de-beze-grand-cru/w/2833?year=2006&price_id=23351943","4,7","35 valoraciones","271,70","Louis Jadot","Chambertin Clos de Beze Grand Cru 2006","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Chambertin-Clos de Bèze Grand Cru, Francia"
"https://www.vivino.com/ES/es/artadi-vina-el-pison/w/49754?year=2019&price_id=27347370","4,7","29 valoraciones","324,99","Artadi","Viña El Pison 2019","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Vino de España, España"
"https://www.vivino.com/ES/es/ja-te-disse-alicante-bouschet/w/10608315?year=2020&price_id=29996915","4,7","28 valoraciones","89,99","Já Te Disse","Alicante Bouschet 2020","https://web-common.vivino.com/assets/countryFlags/PT-48.png","Alentejo, Portugal"
"https://www.vivino.com/ES/es/krug-grande-cuvee/w/7122486?price_id=24998063","4,6","27680 valoraciones","337,90","Krug","Grande Cuvée N.V.","https://web-common.vivino.com/assets/countryFlags/FR-48.png","Champán, Francia"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2012&price_id=12225397","4,6","6123 valoraciones","268,12","Vega Sicilia","Valbuena 5º 2012","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2008&price_id=12225191","4,6","5626 valoraciones","282,39","Vega Sicilia","Valbuena 5º 2008","https://web-common.vivino.com/assets/countryFlags/ES-48.png","Ribera del Duero, España"
