"Id","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/olivier-riviere-mirando-al-sur/w/3981519?year=2018&price_id=24775858","Olivier Rivière","Mirando al Sur 2018","Rioja, España","4,6","51 valoraciones","74,49"
"https://www.vivino.com/ES/es/frontonio-el-jardin-de-las-iguales-vinedo-historic-macabeo/w/7389094?year=2016&price_id=20493540","Bodegas Frontonio","El Jardín de las Iguales Viñedo Historic Macabeo 2016","Valdejalón, España","4,6","34 valoraciones","175"
"https://www.vivino.com/ES/es/enate-chardonnay-uno/w/1192652?year=2011&price_id=15968946","Enate","Chardonnay Uno 2011","Somontano, España","4,5","99 valoraciones","200,13"
"https://www.vivino.com/ES/es/francisco-garcia-perez-adega-do-moucho-treixadura/w/1499471?year=2017&price_id=23866157","Francisco Garcia Perez","Adega do Moucho Treixadura 2017","Ribeiro, España","4,5","70 valoraciones","47,50"
"https://www.vivino.com/ES/es/attis-mar-albarino/w/2681086?year=2020&price_id=28769080","Attis","Mar Albariño 2020","Rías Baixas, España","4,5","50 valoraciones","88,20"
"https://www.vivino.com/ES/es/pazo-barrantes-gran-vino-albarino/w/10072848?year=2019&price_id=27482147","Pazo Barrantes","Gran Vino Albariño 2019","Rías Baixas, España","4,4","931 valoraciones","33,90"
"https://www.vivino.com/ES/es/abadia-retuerta-ledomaine-blanco-de-guarda/w/1552884?year=2019&price_id=25510900","Abadía Retuerta","LeDomaine Blanco de Guarda 2019","Sardón de Duero, España","4,4","425 valoraciones","34,20"
"https://www.vivino.com/ES/es/rafael-palacios-as-sortes-val-do-bibei-godello/w/1889460?year=2020&price_id=27867055","Rafael Palacios","As Sortes Val do Bibei Godello 2020","Valdeorras, España","4,4","373 valoraciones","55"
"https://www.vivino.com/ES/es/abadia-retuerta-ledomaine-blanco-de-guarda/w/1552884?year=2020&price_id=29997337","Abadía Retuerta","LeDomaine Blanco de Guarda 2020","Sardón de Duero, España","4,4","339 valoraciones","34,30"
"https://www.vivino.com/ES/es/marques-de-murrieta-capellania-reserva/w/1173806?year=2017&price_id=28934554","Marqués de Murrieta","Capellanía Reserva 2017","Rioja, España","4,4","232 valoraciones","48,67"
"https://www.vivino.com/ES/es/chivite-comunidad-foral-de-navarra-navarra-coleccion-125-blanco/w/78778?year=2017&price_id=23055075","Chivite","Navarra Coleccion 125 Blanco 2017","Navarra, España","4,4","230 valoraciones","59,90"
"https://www.vivino.com/ES/es/fefinanes-albarino-de-fefinanes-iii-ano/w/1187112?year=2015&price_id=16375570","Fefiñanes","Albariño de Fefiñanes III Año 2015","Rías Baixas, España","4,4","204 valoraciones","34,95"
"https://www.vivino.com/ES/es/bodegas-mauro-godello-blanco/w/3129436?year=2019&price_id=27474098","Bodegas Mauro","Godello Blanco 2019","Bierzo, España","4,4","160 valoraciones","86,63"
"https://www.vivino.com/ES/es/hacienda-lopez-de-haro-gran-reserva-classica-blanco/w/7165088?year=2012&price_id=25033686","Hacienda López de Haro","Gran Reserva Classica Blanco 2012","Rioja, España","4,4","121 valoraciones","44,90"
"https://www.vivino.com/ES/es/rodriguez-vazquez-vina-de-martin-escolma-ribeiro/w/1848747?year=2017&price_id=29767650","Luis A. Rodriguez Vazquez","Viña de Martin Escolma Ribeiro 2017","Ribeiro, España","4,4","93 valoraciones","41,25"
"https://www.vivino.com/ES/es/ossian-capitel/w/99553?year=2019&price_id=28869821","Ossian","Capitel 2019","Castilla y León, España","4,4","80 valoraciones","59,12"
"https://www.vivino.com/ES/es/belondrade-belondrade-y-lurton/w/76476?year=2021&price_id=31214057","Belondrade","Belondrade y Lurton 2021","Rueda, España","4,4","57 valoraciones","44,50"
"https://www.vivino.com/ES/es/do-ferreiro-cepas-vellas-rias-baixas-albarino/w/1191728?year=2021&price_id=31929459","Do Ferreiro (Bodegas Gerardo Mendez)","Cepas Vellas Rias Baixas Albariño 2021","Rías Baixas, España","4,4","48 valoraciones","29"
"https://www.vivino.com/ES/es/familia-torres-forcada/w/7046235?year=2017&price_id=25992458","Familia Torres","Forcada 2017","Penedès, España","4,4","47 valoraciones","69"
"https://www.vivino.com/ES/es/ordonez-nisia-las-suertes-verdejo-old-vines/w/4846683?year=2021&price_id=31290167","Ordóñez","Nisia Las Suertes Verdejo Old Vines 2021","Rueda, España","4,4","43 valoraciones","21,50"
"https://www.vivino.com/ES/es/abadia-retuerta-ledomaine-blanco-de-guarda/w/1552884?year=2021&price_id=30899532","Abadía Retuerta","LeDomaine Blanco de Guarda 2021","Sardón de Duero, España","4,4","39 valoraciones","34,20"
"https://www.vivino.com/ES/es/rafael-palacios-as-sortes-val-do-bibei-godello/w/1889460?year=2021&price_id=31311432","Rafael Palacios","As Sortes Val do Bibei Godello 2021","Valdeorras, España","4,4","32 valoraciones","57,80"
"https://www.vivino.com/ES/es/altavins-seleccio-garnatxa-blanca/w/6844984?year=2017&price_id=29353261","Altavins","Selecció Garnatxa Blanca 2017","Terra Alta, España","4,4","27 valoraciones","32,50"
"https://www.vivino.com/ES/es/ossian-vinas-viejas-verdejo-castilla-and-leon/w/6142915?year=2016&price_id=23967212","Ossian","Viñas Viejas Verdejo 2016","Castilla y León, España","4,3","1247 valoraciones","49"
"https://www.vivino.com/ES/es/ossian-vinas-viejas-verdejo-castilla-and-leon/w/6142915?year=2018&price_id=25686776","Ossian","Viñas Viejas Verdejo 2018","Castilla y León, España","4,3","1051 valoraciones","36"
"https://www.vivino.com/ES/es/olivier-riviere-mirando-al-sur/w/3981519?year=2018&price_id=24775858","Olivier Rivière","Mirando al Sur 2018","Rioja, España","4,6","51 valoraciones","74,49"
"https://www.vivino.com/ES/es/frontonio-el-jardin-de-las-iguales-vinedo-historic-macabeo/w/7389094?year=2016&price_id=20493540","Bodegas Frontonio","El Jardín de las Iguales Viñedo Historic Macabeo 2016","Valdejalón, España","4,6","34 valoraciones","175"
"https://www.vivino.com/ES/es/enate-chardonnay-uno/w/1192652?year=2011&price_id=15968946","Enate","Chardonnay Uno 2011","Somontano, España","4,5","99 valoraciones","200,13"
"https://www.vivino.com/ES/es/francisco-garcia-perez-adega-do-moucho-treixadura/w/1499471?year=2017&price_id=23866157","Francisco Garcia Perez","Adega do Moucho Treixadura 2017","Ribeiro, España","4,5","70 valoraciones","47,50"
"https://www.vivino.com/ES/es/attis-mar-albarino/w/2681086?year=2020&price_id=28769080","Attis","Mar Albariño 2020","Rías Baixas, España","4,5","50 valoraciones","88,20"
"https://www.vivino.com/ES/es/pazo-barrantes-gran-vino-albarino/w/10072848?year=2019&price_id=27482147","Pazo Barrantes","Gran Vino Albariño 2019","Rías Baixas, España","4,4","931 valoraciones","33,90"
"https://www.vivino.com/ES/es/abadia-retuerta-ledomaine-blanco-de-guarda/w/1552884?year=2019&price_id=25510900","Abadía Retuerta","LeDomaine Blanco de Guarda 2019","Sardón de Duero, España","4,4","425 valoraciones","34,20"
"https://www.vivino.com/ES/es/rafael-palacios-as-sortes-val-do-bibei-godello/w/1889460?year=2020&price_id=27867055","Rafael Palacios","As Sortes Val do Bibei Godello 2020","Valdeorras, España","4,4","373 valoraciones","55"
