,Pais,Tipo,Bodegas,Nombre y año,Región,Rating,Valoraciones,Precio,Año
0,Portugal,Tinto,Cartuxa,Pêra-Manca Tinto 2015,Alentejo ,4.7,969,362.85,2015
1,Portugal,Tinto,Já Te Disse,Alicante Bouschet 2020,Alentejo ,4.7,28,89.99,2020
2,Portugal,Tinto,W. & J. Graham's,40 Year Old Tawny Port N.V.,Porto ,4.6,2259,140.63,N.V.
3,Portugal,Tinto,Quinta do Noval,40 Year Old Tawny Port N.V.,Porto ,4.6,757,140.51,N.V.
4,Portugal,Tinto,Quinta do Noval,Vintage Port 2019,Porto ,4.6,57,170.4,2019
5,Portugal,Tinto,Lima Mayer,Petit Verdot 2015,Alentejano ,4.5,37,79.99,2015
6,Portugal,Tinto,Casa Ferreirinha,Quinta da Leda Douro 2017,Douro ,4.5,1146,42.57,2017
7,Portugal,Tinto,Ramos Pinto,30 Year Old Tawny Port N.V.,Porto ,4.5,1088,94.76,N.V.
8,Portugal,Tinto,Cartuxa,Pêra-Manca Branco 2020,Evora ,4.5,321,63.39,2020
9,Portugal,Tinto,Titan of Douro,Vale dos Mil Single Vineyard Tinto 2017,Douro ,4.5,292,35.99,2017
10,Portugal,Tinto,Quinta do Noval,Vintage Port 2003,Porto ,4.5,177,156.35,2003
11,Portugal,Tinto,Quinta do Zambujeiro,Zambujeiro 2017,Borba ,4.5,124,50.99,2017
12,Portugal,Tinto,W. & J. Graham's,30 Year Old Tawny Port N.V.,Porto ,4.5,3429,84.95,N.V.
13,Portugal,Tinto,Vinha das Virtudes,Humanitas Reserva Syrah 2018,Alentejano ,4.5,76,34.99,2018
14,Portugal,Tinto,Quinta da Furada,Pata d'Urso Tinto 2017,Douro ,4.5,75,47.99,2017
15,Portugal,Tinto,Quinta da Sequeira,Grande Reserva Tinto 2017,Douro ,4.5,92,64.99,2017
16,Portugal,Tinto,W. & J. Graham's,20 Year Old Tawny Port N.V.,Porto ,4.4,12331,54.95,N.V.
17,Portugal,Tinto,Ramos Pinto,Quinta do Bom Retiro 20 Year Old Tawny Porto N.V.,Porto ,4.4,2921,71.15,N.V.
18,Portugal,Tinto,Bacalhôa,Península de Setúbal Palácio da Bacalhôa Tinto 2014,Península de Setúbal ,4.4,2004,52.99,2014
19,Portugal,Tinto,Quinta do Crasto,Reserva Vinhas Velhas 2019,Douro ,4.4,951,28.81,2019
20,Portugal,Tinto,W. & J. Graham's,Vintage Port 2000,Porto ,4.4,810,125.61,2000
21,Portugal,Tinto,Anselmo Mendes,Parcela Única Escolha 2018,Monção e Melgaço ,4.4,470,33.9,2018
22,Portugal,Tinto,Quinta do Carmo,Reserva Tinto 2014,Alentejano ,4.4,360,52.99,2014
23,Portugal,Tinto,Esporão,Esporão Private Selection Tinto 2016,Alentejo ,4.4,290,61.8,2016
24,Portugal,Tinto,Quinta do Crasto,Reserva Vinhas Velhas 2020,Douro ,4.4,123,32.15,2020
25,Portugal,Tinto,Cartuxa,Pêra-Manca Tinto 2015,Alentejo ,4.7,969,362.85,2015
26,Portugal,Tinto,Já Te Disse,Alicante Bouschet 2020,Alentejo ,4.7,28,89.99,2020
27,Portugal,Tinto,W. & J. Graham's,40 Year Old Tawny Port N.V.,Porto ,4.6,2259,140.63,N.V.
