"Id","imagen","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio","Comentarios"
"https://www.vivino.com/ES/es/legon-ribera-del-duero-premium/w/1190058?year=2019&price_id=30851196","https://images.vivino.com/thumbs/kGDZlCM7QWaCeP7qlM1SfQ_pb_x300.png","Legón","Ribera del Duero Premium 2019","Ribera del Duero, España","4,1","294 valoraciones","€25",""
"https://www.vivino.com/ES/es/legon-ribera-del-duero-crianza/w/1218601?year=2018&price_id=27288445","https://images.vivino.com/thumbs/uuegLkccTKySCz2SwZkgJA_pb_x300.png","Legón","Ribera del Duero Crianza 2018","Ribera del Duero, España","4,0","509 valoraciones","€18","Popular entre los usuarios de Vivino. Más de 500 valoraciones"
"https://www.vivino.com/ES/es/diaz-bayo-diaz-bayo-20-meses-reserva-ribera-del-duero/w/7499354?year=2014&price_id=20234725","https://images.vivino.com/thumbs/59SHifcMRoONvUsfwEvMwg_pb_x300.png","Bodegas Diaz Bayo","Díaz Bayo 20 Meses Reserva 2014","Ribera del Duero, España","4,1","464 valoraciones","€25","La cosecha más económica disponible"
"https://www.vivino.com/ES/es/bodegas-lleiroso-ll-reserva/w/1158307?year=2016&price_id=30470770","https://images.vivino.com/thumbs/3PhVDy9vRu-cMe_PkgzUcA_pb_x300.png","Bodegas Lleiroso","LL Reserva 2016","Ribera del Duero, España","3,8","48 valoraciones","€24","La cosecha más económica disponible"
"https://www.vivino.com/ES/es/bodegas-vilano-crianza/w/1516813?year=2020&price_id=31633548","https://images.vivino.com/thumbs/QEErTAgqRCmRSLzwZuufwA_pb_x300.png","Bodegas Vilano","Crianza 2020","Ribera del Duero, España","4,2","54 valoraciones","€15",""
"https://www.vivino.com/ES/es/lopez-alonso-potente/w/6741610?year=2019&price_id=30368713","https://images.vivino.com/thumbs/yR2mAzL6RcWZXSC8kN5dug_pb_x300.png","López-Alonso","Potente 2019","Montsant, España","4,0","56 valoraciones","€15",""
"https://www.vivino.com/ES/es/la-cepa-alta-cinco-elementos/w/6543583?year=2021&price_id=31601119","https://images.vivino.com/thumbs/fiSYRzxcQPa0F1piEvjeDA_pb_x300.png","La Cepa Alta","Cinco Elementos 2021","Ribera del Duero, España","4,3","25 valoraciones","€15",""
"https://www.vivino.com/ES/es/guelbenzu-evo/w/51644?year=2015&price_id=26680018","https://images.vivino.com/thumbs/fkOi6YPHTL--qu3FZ5rsyQ_pb_x300.png","Guelbenzu","Evo 2015","Ribera del Queiles, España","4,0","210 valoraciones","€15",""
"https://www.vivino.com/ES/es/ontanon-rioja-reserva/w/2904763?year=2015&price_id=30431342","https://images.vivino.com/thumbs/iJwmV3leQ5ue0WpcJt3txw_pb_x300.png","Ontañón","Rioja Reserva 2015","Rioja, España","4,0","96 valoraciones","€15",""
"https://www.vivino.com/ES/es/monte-real-la-rioja-cuvee-rioja-rioja/w/2031468?year=2019&price_id=29086027","https://images.vivino.com/thumbs/xSLfB2AyTD2C-jZYiViXaw_pb_x300.png","Monte Real","Cuvée Rioja 2019","Rioja, España","3,9","63 valoraciones","€15",""
