"anchor_anchor__m8Qi- href","discountSplash__value--CiNm-","wineInfoVintage__truncate--3QAtw","wineInfoVintage__vintage--VvWlU","wineInfoLocation__regionAndCountry--1nEJz","vivinoRating_averageValue__uDdPM","vivinoRating_caption__xL84P","addToCartButton__price--qJdh4","price_strike__mOVjZ"
"https://www.vivino.com/ES/es/legon-ribera-del-duero-premium/w/1190058?year=2019&price_id=30851196","52%","Legón","Ribera del Duero Premium 2019","Ribera del Duero, España","4,1","294 valoraciones","11,99","€25"
"https://www.vivino.com/ES/es/legon-ribera-del-duero-crianza/w/1218601?year=2018&price_id=27288445","45%","Legón","Ribera del Duero Crianza 2018","Ribera del Duero, España","4,0","509 valoraciones","9,99","€18"
"https://www.vivino.com/ES/es/diaz-bayo-diaz-bayo-20-meses-reserva-ribera-del-duero/w/7499354?year=2014&price_id=20234725","40%","Bodegas Diaz Bayo","Díaz Bayo 20 Meses Reserva 2014","Ribera del Duero, España","4,1","464 valoraciones","14,90","€25"
"https://www.vivino.com/ES/es/bodegas-lleiroso-ll-reserva/w/1158307?year=2016&price_id=30470770","34%","Bodegas Lleiroso","LL Reserva 2016","Ribera del Duero, España","3,8","48 valoraciones","15,90","€24"
"https://www.vivino.com/ES/es/bodegas-vilano-crianza/w/1516813?year=2020&price_id=31633548","34%","Bodegas Vilano","Crianza 2020","Ribera del Duero, España","4,2","54 valoraciones","9,95","€15"
"https://www.vivino.com/ES/es/lopez-alonso-potente/w/6741610?year=2019&price_id=30368713","34%","López-Alonso","Potente 2019","Montsant, España","4,0","56 valoraciones","9,95","€15"
"https://www.vivino.com/ES/es/la-cepa-alta-cinco-elementos/w/6543583?year=2021&price_id=31601119","33%","La Cepa Alta","Cinco Elementos 2021","Ribera del Duero, España","4,3","25 valoraciones","9,99","€15"
"https://www.vivino.com/ES/es/guelbenzu-evo/w/51644?year=2015&price_id=26680018","33%","Guelbenzu","Evo 2015","Ribera del Queiles, España","4,0","210 valoraciones","9,99","€15"
"https://www.vivino.com/ES/es/ontanon-rioja-reserva/w/2904763?year=2015&price_id=30431342","33%","Ontañón","Rioja Reserva 2015","Rioja, España","4,0","96 valoraciones","9,99","€15"
"https://www.vivino.com/ES/es/monte-real-la-rioja-cuvee-rioja-rioja/w/2031468?year=2019&price_id=29086027","30%","Monte Real","Cuvée Rioja 2019","Rioja, España","3,9","63 valoraciones","10,50","€15"
"https://www.vivino.com/ES/es/bodegas-vilano-la-baraja-ribera-del-duero/w/6401250?year=2016&price_id=22286389","29%","Bodegas Vilano","La Baraja 2016","Ribera del Duero, España","4,3","1037 valoraciones","24,90","€35"
"https://www.vivino.com/ES/es/quinta-de-couselo-tradicion-rosal/w/9692726?year=2015&price_id=30693517","29%","Quinta de Couselo","Tradición Rosal 2015","Rías Baixas, España","4,2","61 valoraciones","19,99","€28"
"https://www.vivino.com/ES/es/bodegas-vilano-terra-incognita-ribera-del-duero/w/3721052?year=2019&price_id=27212415","28%","Bodegas Vilano","Terra Incognita 2019","Ribera del Duero, España","4,3","353 valoraciones","22,90","€32"
"https://www.vivino.com/ES/es/bodegas-castelo-de-medina-darou-sauvignon-blanc/w/7324238?year=2021&price_id=30668399","28%","Bodegas Castelo de Medina","Darou Sauvignon Blanc 2021","Rueda, España","4,1","25 valoraciones","7,90","€11"
"https://www.vivino.com/ES/es/monte-real-la-rioja-reserva/w/1576642?year=2018&price_id=30975113","28%","Monte Real","Reserva 2018","Rioja, España","3,9","400 valoraciones","7,90","€11"
"https://www.vivino.com/ES/es/la-cepa-alta-cinco-elementos-essentia/w/6543584?year=2020&price_id=31601122","28%","La Cepa Alta","Cinco Elementos Essentia 2020","Ribera del Duero, España","4,3","31 valoraciones","15,90","€22"
"https://www.vivino.com/ES/es/la-cepa-alta-cinco-elementos-essentia/w/6543584?year=2019&price_id=27843782","28%","La Cepa Alta","Cinco Elementos Essentia 2019","Ribera del Duero, España","4,1","321 valoraciones","15,90","€22"
"https://www.vivino.com/ES/es/marques-de-tomares-rioja-reserva/w/1155884?year=2014&price_id=27007438","26%","Marques de Tomares","Rioja Reserva 2014","Rioja, España","4,1","564 valoraciones","11,90","€16"
"https://www.vivino.com/ES/es/bodegas-ochoa-reserva-navarra/w/50474?year=2013&price_id=29442396","26%","Bodegas Ochoa","Reserva Navarra 2013","Navarra, España","4,0","112 valoraciones","11,90","€16"
"https://www.vivino.com/ES/es/de-bardos-romantica-crianza/w/1165618?year=2020&price_id=30941503","25%","Bodega de Bardos","Romántica Crianza 2020","Ribera del Duero, España","3,9","145 valoraciones","8,95","€12"
"https://www.vivino.com/ES/es/bodegas-vilano-black-edition/w/3973671?year=2020&price_id=26972650","25%","Bodegas Vilano","Black Edition 2020","Ribera del Duero, España","4,0","664 valoraciones","7,50","€10"
"https://www.vivino.com/ES/es/pagos-del-moncayo-prados-prive/w/5445839?year=2018&price_id=26609931","24%","Pagos del Moncayo","Prados Privé 2018","Campo de Borja, España","4,2","103 valoraciones","18,90","€25"
