"Id","Bodegas","Nombre y año","Región","Rating","Valoraciones","Precio"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2010&price_id=21448203","Vega Sicilia","Unico 2010","Ribera del Duero, España","4,8","1571 valoraciones","380,55"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2018&price_id=23432410","Vega Sicilia","Unico Reserva Especial Edición 2018","Ribera del Duero, España","4,8","462 valoraciones","484"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2019&price_id=23432386","Vega Sicilia","Unico Reserva Especial Edición 2019","Ribera del Duero, España","4,8","261 valoraciones","471,90"
"https://www.vivino.com/ES/es/es-toro-albala-don-px-convento-seleccion/w/2395864?year=1931&price_id=8563351","Toro Albalá","Don PX Convento Selección 1931","Montilla-Moriles, España","4,8","159 valoraciones","300,93"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2020&price_id=21065929","Vega Sicilia","Unico Reserva Especial Edición 2020","Ribera del Duero, España","4,8","97 valoraciones","435,75"
"https://www.vivino.com/ES/es/ordonez-vatan-arena-tinta-de-toro/w/6091368?year=2014&price_id=15962540","Ordóñez","Vatan Arena Tinta de Toro 2014","Toro, España","4,8","84 valoraciones","369,05"
"https://www.vivino.com/ES/es/vina-sastre-pesus-ribera-del-duero/w/736577?year=2007&price_id=23432407","Viña Sastre","Pesus Ribera del Duero 2007","Ribera del Duero, España","4,8","81 valoraciones","360"
"https://www.vivino.com/ES/es/es-toro-albala-don-px-convento-seleccion/w/2395864?year=1929&price_id=30413078","Toro Albalá","Don PX Convento Selección 1929","Montilla-Moriles, España","4,8","77 valoraciones","290,95"
"https://www.vivino.com/ES/es/artadi-vina-el-pison/w/49754?year=2018&price_id=27474114","Artadi","Viña El Pison 2018","Vino de España, España","4,8","54 valoraciones","299,25"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2021&price_id=27474057","Vega Sicilia","Unico Reserva Especial Edición 2021","Ribera del Duero, España","4,8","28 valoraciones","451,50"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2005&price_id=12225078","Vega Sicilia","Unico 2005","Ribera del Duero, España","4,7","3627 valoraciones","496,10"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2006&price_id=12225310","Vega Sicilia","Valbuena 5º 2006","Ribera del Duero, España","4,7","3980 valoraciones","249,20"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?price_id=7915761","Vega Sicilia","Unico Reserva Especial Edición","Ribera del Duero, España","4,7","12885 valoraciones","423,50"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2006&price_id=17367270","Vega Sicilia","Unico 2006","Ribera del Duero, España","4,7","2976 valoraciones","450"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2008&price_id=10082219","Vega Sicilia","Unico 2008","Ribera del Duero, España","4,7","2516 valoraciones","499"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2009&price_id=19646048","Vega Sicilia","Unico 2009","Ribera del Duero, España","4,7","2054 valoraciones","450"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2005&price_id=20181795","Vega Sicilia","Valbuena 5º 2005","Ribera del Duero, España","4,7","1894 valoraciones","284,10"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2011&price_id=24305334","Vega Sicilia","Unico 2011","Ribera del Duero, España","4,7","1298 valoraciones","389,90"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2017&price_id=23432385","Vega Sicilia","Unico Reserva Especial Edición 2017","Ribera del Duero, España","4,7","563 valoraciones","496,10"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2012&price_id=31328099","Vega Sicilia","Unico 2012","Ribera del Duero, España","4,7","511 valoraciones","349"
"https://www.vivino.com/ES/es/emilio-moro-malleolus-de-sanchomartin/w/11607?year=2016&price_id=27473969","Emilio Moro","Malleolus de Sanchomartin 2016","Ribera del Duero, España","4,7","434 valoraciones","120,75"
"https://www.vivino.com/ES/es/pago-de-los-capellanes-parcela-el-picon-tinto/w/1382462?year=2016&price_id=26703812","Pago de Los Capellanes","Parcela El Picón Tinto 2016","Ribera del Duero, España","4,7","140 valoraciones","196"
"https://www.vivino.com/ES/es/es-toro-albala-don-px-convento-seleccion/w/2395864?year=1955&price_id=8934769","Toro Albalá","Don PX Convento Selección 1955","Montilla-Moriles, España","4,7","129 valoraciones","227,50"
"https://www.vivino.com/ES/es/es-toro-albala-don-px-pedro-ximenez/w/86816?year=1931&price_id=15672609","Toro Albalá","Don PX Pedro Ximenez 1931","Montilla-Moriles, España","4,7","79 valoraciones","320,61"
"https://www.vivino.com/ES/es/teso-la-monja-alabaster/w/1379762?year=2019&price_id=29544786","Teso La Monja","Alabaster 2019","Toro, España","4,7","74 valoraciones","160,77"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2010&price_id=21448203","Vega Sicilia","Unico 2010","Ribera del Duero, España","4,8","1571 valoraciones","380,55"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2018&price_id=23432410","Vega Sicilia","Unico Reserva Especial Edición 2018","Ribera del Duero, España","4,8","462 valoraciones","484"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2019&price_id=23432386","Vega Sicilia","Unico Reserva Especial Edición 2019","Ribera del Duero, España","4,8","261 valoraciones","471,90"
"https://www.vivino.com/ES/es/es-toro-albala-don-px-convento-seleccion/w/2395864?year=1931&price_id=8563351","Toro Albalá","Don PX Convento Selección 1931","Montilla-Moriles, España","4,8","159 valoraciones","300,93"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2020&price_id=21065929","Vega Sicilia","Unico Reserva Especial Edición 2020","Ribera del Duero, España","4,8","97 valoraciones","435,75"
"https://www.vivino.com/ES/es/ordonez-vatan-arena-tinta-de-toro/w/6091368?year=2014&price_id=15962540","Ordóñez","Vatan Arena Tinta de Toro 2014","Toro, España","4,8","84 valoraciones","369,05"
"https://www.vivino.com/ES/es/vina-sastre-pesus-ribera-del-duero/w/736577?year=2007&price_id=23432407","Viña Sastre","Pesus Ribera del Duero 2007","Ribera del Duero, España","4,8","81 valoraciones","360"
"https://www.vivino.com/ES/es/es-toro-albala-don-px-convento-seleccion/w/2395864?year=1929&price_id=30413078","Toro Albalá","Don PX Convento Selección 1929","Montilla-Moriles, España","4,8","77 valoraciones","290,95"
"https://www.vivino.com/ES/es/artadi-vina-el-pison/w/49754?year=2018&price_id=27474114","Artadi","Viña El Pison 2018","Vino de España, España","4,8","54 valoraciones","299,25"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2021&price_id=27474057","Vega Sicilia","Unico Reserva Especial Edición 2021","Ribera del Duero, España","4,8","28 valoraciones","451,50"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2005&price_id=12225078","Vega Sicilia","Unico 2005","Ribera del Duero, España","4,7","3627 valoraciones","496,10"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2006&price_id=12225310","Vega Sicilia","Valbuena 5º 2006","Ribera del Duero, España","4,7","3980 valoraciones","249,20"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?price_id=7915761","Vega Sicilia","Unico Reserva Especial Edición","Ribera del Duero, España","4,7","12885 valoraciones","423,50"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2006&price_id=17367270","Vega Sicilia","Unico 2006","Ribera del Duero, España","4,7","2976 valoraciones","450"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2008&price_id=10082219","Vega Sicilia","Unico 2008","Ribera del Duero, España","4,7","2516 valoraciones","499"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2009&price_id=19646048","Vega Sicilia","Unico 2009","Ribera del Duero, España","4,7","2054 valoraciones","450"
"https://www.vivino.com/ES/es/vega-sicilia-valbuena-5o/w/1175427?year=2005&price_id=20181795","Vega Sicilia","Valbuena 5º 2005","Ribera del Duero, España","4,7","1894 valoraciones","284,10"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2011&price_id=24305334","Vega Sicilia","Unico 2011","Ribera del Duero, España","4,7","1298 valoraciones","389,90"
"https://www.vivino.com/ES/es/vega-sicilia-unico-reserva-especial-edicion/w/77136?year=2017&price_id=23432385","Vega Sicilia","Unico Reserva Especial Edición 2017","Ribera del Duero, España","4,7","563 valoraciones","496,10"
"https://www.vivino.com/ES/es/vega-sicilia-unico/w/77137?year=2012&price_id=31328099","Vega Sicilia","Unico 2012","Ribera del Duero, España","4,7","511 valoraciones","349"
